quarter,event,start_arr,new_customer_arr,expansion_arr,churned_arr,end_arr,growth,multiple,valuation,cash,debt,ownership,complexity,ops_capacity,strain,gu,cu
1,neutral,100000.0,38694.14758563961,8000.0,0.0,146694.1475856396,0.4669414758563961,10,1466941.4758563961,46585.73791374347,0.0,1.0,0.0,4.0,0.0,25000.0,5000.0
2,neutral,146694.1475856396,36922.50116216888,10646.820784269355,0.0,194263.46953207787,0.3242755265247881,10,1942634.6953207788,71419.52941154374,0.0,1.0,0.15,4.0,0.0375,25000.0,5000.0
3,neutral,194263.46953207787,57955.6290726271,11247.49671202111,0.0,263466.5953167261,0.35623334614242025,10,2634665.9531672606,84720.91008581409,0.0,1.0,3.3,4.0,0.825,25000.0,5000.0
4,neutral,263466.5953167261,271821.1921748575,21077.327625338086,0.0,556365.1151169216,1.1117102699417658,28,15578223.223273804,107956.18474875827,0.0,1.0,6.45,8.0,0.80625,25000.0,5000.0
5,churn,556365.1151169216,283554.80724498443,44509.20920935373,0.0,884429.1315712598,0.5896559786739949,14,12382007.841997638,168372.70290889347,0.0,1.0,8.1,8.0,1.0125,25000.0,5000.0
6,bugs,884429.1315712598,367034.9651040499,70754.33052570079,0.0,1322218.4272010105,0.49499646721493973,10,13222184.272010105,264294.30823315954,0.0,1.0,9.75,8.0,1.21875,25000.0,6633.218486784448
7,neutral,1322218.4272010105,632177.9424883621,105777.47417608084,0.0,2060173.8438654535,0.5581191439198231,14,28842433.814116348,298662.04201438563,0.0,1.0,14.4,12.0,1.2,25000.0,9916.638204007579
8,cost,2060173.8438654535,668556.6964780545,164813.90750923628,0.0,2893544.4478527443,0.4045146998001188,10,28935444.47852744,266622.6132261669,0.0,1.0,19.05,16.0,1.190625,25000.0,15451.3038289909
9,market_down,2893544.4478527443,776088.7927011464,231483.55582821954,0.0,3901116.7963821106,0.34821388324519104,10,39011167.963821106,536193.6420780771,0.0,1.0,19.05,19.0,1.0026315789473685,28935.444478527443,21701.58335889558
10,catastrophe,3901116.7963821106,1813271.2501697931,312089.34371056885,0.0,6026477.390262472,0.5448082446163668,14,84370683.46367462,380296.54097793903,0.0,1.0,23.05,23.0,1.0021739130434784,39011.167963821106,29258.37597286583
11,market_down,6026477.390262472,2776762.765213625,482118.19122099783,0.0,9285358.346697096,0.5407605049178967,14,129995016.85375935,695413.1628111764,0.0,1.0,25.05,23.0,1.0891304347826087,60264.77390262473,45198.58042696854
12,neutral,9285358.346697096,4255295.395504801,742828.6677357677,0.0,14283482.409937665,0.5382801478004838,14,199968753.7391273,1095435.3364141798,0.0,1.0,27.05,23.0,1.1760869565217391,92853.58346697096,69640.18760022822
13,neutral,14283482.409937665,6260670.669311177,1142678.5927950132,0.0,21686831.672043856,0.5183154254424219,14,303615643.408614,1333533.0675938744,0.0,1.0,29.05,23.0,1.2630434782608695,142834.82409937665,107126.11807453248
14,cost,21686831.672043856,10843554.801241733,1734946.5337635085,0.0,34265333.0070491,0.5800064078156693,14,479714662.0986874,2225500.9508969095,0.0,1.0,29.2,23.0,1.2695652173913043,216868.31672043857,162651.2375403289
15,neutral,34265333.0070491,17187133.87987906,2741226.640563928,0.0,54193693.52749208,0.5815895767405297,14,758711709.3848891,2656325.5685021454,0.0,1.0,31.2,23.0,1.3565217391304347,342653.330070491,256989.99755286824
16,neutral,54193693.52749208,29928435.608786795,4335495.482199367,0.0,88457624.61847825,0.6322494161355567,14,1238406744.6586955,6067866.732647161,0.0,1.0,31.2,26.0,1.2,541936.9352749209,406452.7014561906
