strategy,growth_commitment,unicorn_while_never_missing_after_q4
balanced,0.1,0.183
balanced,0.25,0.0
balanced,0.5,0.0
balanced,0.75,0.0
balanced,1.0,0.0
product_led,0.1,0.924
product_led,0.25,0.924
product_led,0.5,0.0
product_led,0.75,0.0
product_led,1.0,0.0
ragebait,0.1,0.381
ragebait,0.25,0.381
ragebait,0.5,0.0
ragebait,0.75,0.0
ragebait,1.0,0.0
nrr_machine,0.1,0.511
nrr_machine,0.25,0.511
nrr_machine,0.5,0.0
nrr_machine,0.75,0.0
nrr_machine,1.0,0.0
autonomous,0.1,0.699
autonomous,0.25,0.539
autonomous,0.5,0.0
autonomous,0.75,0.0
autonomous,1.0,0.0
debt_growth,0.1,0.97
debt_growth,0.25,0.969
debt_growth,0.5,0.0
debt_growth,0.75,0.0
debt_growth,1.0,0.0
vc_blitz,0.1,1.0
vc_blitz,0.25,1.0
vc_blitz,0.5,0.63
vc_blitz,0.75,0.0
vc_blitz,1.0,0.0
