skill,strategy,unicorn_rate,median_unicorn_q,p25_unicorn_q,p75_unicorn_q,bankruptcy_rate,median_peak_valuation_b,median_founder_ownership,median_peak_debt_m,median_capital_raised_m,p95_max_strain
0.85,balanced,0.181,16.0,15.0,16.0,0.0,0.8476206572912789,1.0,0.0,0.0,1.425
0.85,product_led,0.851,16.0,15.0,16.0,0.0,1.1454330076632748,1.0,0.0,0.0,1.4339772727272708
0.85,ragebait,0.378,16.0,16.0,16.0,0.0,0.763974756923238,1.0,0.0,0.0,1.6222222222222222
0.85,nrr_machine,0.387,16.0,16.0,16.0,0.0,0.9308000785556684,1.0,0.0,0.0,1.4859285714285713
0.85,autonomous,0.652,16.0,16.0,16.0,0.0,1.1212751822113498,1.0,0.0,0.0,1.6109210526315787
0.85,debt_growth,0.951,15.0,15.0,16.0,0.0,1.1620605556568242,1.0,2.585052072855856,0.0,1.26
0.85,vc_blitz,1.0,14.0,14.0,14.0,0.0,1.2927223287707774,0.5556076172830923,0.0,45.0,1.1777777777777778
1.0,balanced,0.152,16.0,15.0,16.0,0.0,0.8873235509254499,1.0,0.0,0.0,1.3675000000000002
1.0,product_led,0.931,16.0,15.0,16.0,0.0,1.1549978243346355,1.0,0.0,0.0,1.4181818181818182
1.0,ragebait,0.367,16.0,16.0,16.0,0.0,0.7217045030476453,1.0,0.0,0.0,1.6222222222222222
1.0,nrr_machine,0.513,16.0,16.0,16.0,0.0,1.0070716062474967,1.0,0.0,0.0,1.425
1.0,autonomous,0.691,16.0,16.0,16.0,0.0,1.208652432273706,1.0,0.0,0.0,1.7933333333333332
1.0,debt_growth,0.973,15.0,15.0,16.0,0.0,1.178484483089193,1.0,2.587895402920488,0.0,1.26
1.0,vc_blitz,1.0,14.0,14.0,14.0,0.0,1.3434065585147859,0.5487276725829797,0.0,45.0,1.1777777777777778
1.12,balanced,0.267,16.0,16.0,16.0,0.0,0.9362279312084353,1.0,0.0,0.0,1.3675000000000002
1.12,product_led,0.949,15.0,15.0,16.0,0.0,1.171976884758984,1.0,0.0,0.0,1.425
1.12,ragebait,0.443,16.0,16.0,16.0,0.0,0.9066818679782169,1.0,0.0,0.0,1.6222222222222222
1.12,nrr_machine,0.576,16.0,16.0,16.0,0.0,1.049706915423829,1.0,0.0,0.0,1.425
1.12,autonomous,0.618,16.0,16.0,16.0,0.0,1.166800042947278,1.0,0.0,0.0,1.8133333333333332
1.12,debt_growth,0.979,15.0,15.0,15.5,0.0,1.2362470252429156,1.0,2.705863842298533,0.0,1.26
1.12,vc_blitz,1.0,14.0,14.0,14.0,0.0,1.3919297002594364,0.5487537428900855,0.0,45.0,1.1777777777777778
